hid,wp,age,gender,marital_status,employment,driving_licence,age_discrete,htype,hsize,nbcars,nbcars_agg,role
427918,0.327402695,55,2,2,1,1,5,210,2,1,1,2
427919,1.6077981343,54,2,2,1,1,5,220,3,2,2,2
427921,0.2361785007,66,2,2,4,1,6,210,2,1,1,1
427923,0.6994992917,58,1,4,1,1,5,220,3,1,1,1
427924,0.2755231349,64,1,4,1,1,5,30,2,1,1,1
427925,0.7446149099,64,1,2,4,1,5,210,2,2,2,1
427928,0.3763184149,75,2,4,4,2,6,230,2,0,0,1
427929,1.8339909269,35,2,2,1,1,4,220,3,2,2,1
427932,1.6711551626,58,1,2,1,1,5,210,2,1,1,1
427934,2.9395082649,50,1,2,1,2,5,210,2,0,0,1
427936,0.719560195,15,1,1,3,2,2,220,5,2,2,4
427938,1.128693176,65,2,3,1,1,6,30,2,2,2,2
427939,0.4582279055,41,1,2,1,1,4,220,5,2,2,1
427943,0.7059731105,19,1,1,3,2,3,220,5,1,1,3
427949,1.9573494159,25,1,1,1,1,4,210,2,2,2,2
427951,0.8324707151,83,2,4,4,1,6,10,1,1,1,1
427953,1.0855659662,75,2,2,4,1,6,210,2,2,2,2
427955,0.3923513053,66,1,2,4,1,6,210,2,3,3,2
427956,1.2075755963,73,1,4,4,1,6,10,1,1,1,1
427957,0.4590214919,8,1,1,5,2,1,230,2,1,1,2
427961,0.4654125158,69,1,2,4,1,6,210,2,1,1,2
427965,0.6080425686,61,1,2,1,1,5,220,3,2,2,1
427968,0.5044144484,15,1,1,3,2,2,220,4,1,1,3
427971,1.0285611704,45,2,1,1,1,5,220,4,1,1,2
427978,2.7155855572,46,1,1,1,1,5,10,1,4,4,1
427983,1.00915453,46,1,2,1,1,5,30,8,3,3,1
427988,0.8252139572,40,1,2,1,1,4,220,3,1,1,1
427992,0.4074064449,10,1,1,5,2,1,220,4,2,2,3
427993,1.2319497585,53,2,2,1,1,5,220,3,2,2,1
427995,0.9442437095,20,1,1,1,1,3,220,6,2,2,3
427997,0.2561290019,7,1,1,5,2,1,220,5,2,2,5
427998,0.8038336457,58,1,2,1,1,5,210,2,2,2,2
428002,0.6547803836,22,2,1,1,1,3,220,4,2,2,3
428003,1.617775187,30,2,1,1,1,4,210,2,0,0,1
428005,0.2044150257,56,2,2,1,1,5,220,3,1,1,2
428008,0.2839379466,13,2,1,5,2,1,220,4,1,1,4
428016,0.9100139081,63,1,2,1,2,5,10,1,0,0,1
428017,0.6652669066,41,2,2,1,1,4,220,4,2,2,2
