year;age_m;age_w;count
2007;27 ;42 ;3
2007;27 ;43 ;6
2007;27 ;44 ;4
2007;27 ;45 ;1
2007;27 ;46 ;3
2007;27 ;47 ;3
2007;27 ;48 ;6
2007;27 ;49 ;2
2007;27 ;50 ;1
2007;27 ;51 ;2
2007;27 ;52 ;1
2007;27 ;53 ;3
2007;27 ;54 ;0
2007;27 ;55 ;0
2007;27 ;56 ;0
2007;27 ;57 ;0
2007;27 ;58 ;0
2007;27 ;59 ;0
2007;27 ;60 ;1
2007;27 ;61 ;0
2007;27 ;62 ;0
2007;27 ;63 ;0
2007;27 ;64 ;0
2007;27 ;65 ;0
2007;27 ;66 ;0
2007;27 ;67 ;0
2007;27 ;68 ;0
2007;27 ;69 ;0
2007;27 ;70 ;0
2007;27 ;71 ;0
2007;27 ;72 ;0
2007;27 ;73 ;0
2007;27 ;74 ;0
2007;27 ;75 ;0
2007;27 ;76 ;0
2007;27 ;77 ;0
2007;27 ;78 ;0
2007;27 ;79 ;0
2007;27 ;80 ;0
2007;27 ;81 ;0
2007;27 ;82 ;0
2007;27 ;83 ;0
2007;27 ;84 ;0
2007;27 ;85 ;0
2007;27 ;86 ;0
2007;27 ;87 ;0
2007;27 ;88 ;0
2007;27 ;89 ;0
2007;27 ;90 ;0
2007;27 ;91 ;0
2007;27 ;92 ;0
2007;27 ;93 ;0
2007;27 ;94 ;0
2007;27 ;95 ;0
2007;27 ;99 ;0
2007;27 ;100;0
2007;28 ;18 ;8
2007;28 ;19 ;19
2007;28 ;20 ;32
2007;28 ;21 ;50
2007;28 ;22 ;74
2007;28 ;23 ;96
2007;28 ;24 ;138
2007;28 ;25 ;191
2007;28 ;26 ;234
2007;28 ;27 ;246
2007;28 ;28 ;266
2007;28 ;29 ;154
2007;28 ;30 ;119
2007;28 ;31 ;68
2007;28 ;32 ;47
2007;28 ;33 ;43
2007;28 ;34 ;29
2007;28 ;35 ;20
2007;28 ;36 ;9
2007;28 ;37 ;12
2007;28 ;38 ;8
2007;28 ;39 ;9
2007;28 ;40 ;7
2007;28 ;41 ;8
2007;28 ;42 ;7
2007;28 ;43 ;4
2007;28 ;44 ;7
2007;28 ;45 ;7
2007;28 ;46 ;3
2007;28 ;47 ;4
2007;28 ;48 ;1
2007;28 ;49 ;2
2007;28 ;50 ;2
2007;28 ;51 ;0
2007;28 ;52 ;3
2007;28 ;53 ;0
2007;28 ;54 ;1
2007;28 ;55 ;0
2007;28 ;56 ;2
2007;28 ;57 ;1
2007;28 ;58 ;1
2007;28 ;59 ;1
2007;28 ;60 ;0
2007;28 ;61 ;0
2007;28 ;62 ;0
2007;28 ;63 ;1
2007;28 ;64 ;0
2007;28 ;65 ;1
