year;age_group_m;age_group_w;duration;divorces
2000;70-79 years;40-49 years;5-9 years;2
2000;70-79 years;40-49 years;10-14 years;1
2000;70-79 years;40-49 years;15-19 years;2
2000;70-79 years;40-49 years;20 years or more;1
2000;70-79 years;50-59 years;0-4 years;1
2000;70-79 years;50-59 years;5-9 years;3
2000;70-79 years;50-59 years;10-14 years;5
2000;70-79 years;50-59 years;15-19 years;1
2000;70-79 years;50-59 years;20 years or more;6
2000;70-79 years;60-69 years;0-4 years;0
2000;70-79 years;60-69 years;5-9 years;1
2000;70-79 years;60-69 years;10-14 years;2
2000;70-79 years;60-69 years;15-19 years;2
2000;70-79 years;60-69 years;20 years or more;40
2000;70-79 years;70-79 years;0-4 years;1
2000;70-79 years;70-79 years;5-9 years;0
2000;70-79 years;70-79 years;10-14 years;0
2000;70-79 years;70-79 years;15-19 years;1
2000;70-79 years;70-79 years;20 years or more;43
2000;70-79 years;80-89 years;0-4 years;0
2000;70-79 years;80-89 years;5-9 years;0
2000;70-79 years;80-89 years;10-14 years;0
2000;70-79 years;80-89 years;15-19 years;0
2000;70-79 years;80-89 years;20 years or more;0
2000;70-79 years;90 years or more;0-4 years;0
2000;70-79 years;90 years or more;5-9 years;0
2000;70-79 years;90 years or more;10-14 years;0
2000;70-79 years;90 years or more;15-19 years;0
2000;70-79 years;90 years or more;20 years or more;0
2000;80-89 years;Less than 20 years;0-4 years;0
2000;80-89 years;Less than 20 years;5-9 years;0
2000;80-89 years;Less than 20 years;10-14 years;0
2000;80-89 years;Less than 20 years;15-19 years;0
2000;80-89 years;Less than 20 years;20 years or more;0
2000;80-89 years;20-29 years;0-4 years;0
2000;80-89 years;20-29 years;5-9 years;0
2000;80-89 years;20-29 years;10-14 years;0
2000;80-89 years;20-29 years;15-19 years;0
2000;80-89 years;20-29 years;20 years or more;0
2000;80-89 years;30-39 years;0-4 years;0
2000;80-89 years;30-39 years;5-9 years;0
2000;80-89 years;30-39 years;10-14 years;0
2000;80-89 years;30-39 years;15-19 years;0
2000;80-89 years;30-39 years;20 years or more;0
2000;80-89 years;40-49 years;0-4 years;0
2000;80-89 years;40-49 years;5-9 years;0
2000;80-89 years;40-49 years;10-14 years;0
2000;80-89 years;40-49 years;15-19 years;1
2000;80-89 years;40-49 years;20 years or more;0
2000;80-89 years;50-59 years;0-4 years;1
2000;80-89 years;50-59 years;5-9 years;0
2000;80-89 years;50-59 years;10-14 years;0
2000;80-89 years;50-59 years;15-19 years;0
2000;80-89 years;50-59 years;20 years or more;1
2000;80-89 years;60-69 years;0-4 years;0
2000;80-89 years;60-69 years;5-9 years;0
2000;80-89 years;60-69 years;10-14 years;0
2000;80-89 years;60-69 years;15-19 years;0
2000;80-89 years;60-69 years;20 years or more;4
2000;80-89 years;70-79 years;0-4 years;0
2000;80-89 years;70-79 years;5-9 years;1
2000;80-89 years;70-79 years;10-14 years;0
2000;80-89 years;70-79 years;15-19 years;0
2000;80-89 years;70-79 years;20 years or more;4
2000;80-89 years;80-89 years;0-4 years;0
2000;80-89 years;80-89 years;5-9 years;0
2000;80-89 years;80-89 years;10-14 years;0
2000;80-89 years;80-89 years;15-19 years;0
2000;80-89 years;80-89 years;20 years or more;2
2000;80-89 years;90 years or more;0-4 years;0
2000;80-89 years;90 years or more;5-9 years;0
2000;80-89 years;90 years or more;10-14 years;0
2000;80-89 years;90 years or more;15-19 years;0
2000;80-89 years;90 years or more;20 years or more;0
2000;90 years or more;Less than 20 years;0-4 years;0
2000;90 years or more;Less than 20 years;5-9 years;0
2000;90 years or more;Less than 20 years;10-14 years;0
2000;90 years or more;Less than 20 years;15-19 years;0
2000;90 years or more;Less than 20 years;20 years or more;0
2000;90 years or more;20-29 years;0-4 years;0
2000;90 years or more;20-29 years;5-9 years;0
2000;90 years or more;20-29 years;10-14 years;0
2000;90 years or more;20-29 years;15-19 years;0
2000;90 years or more;20-29 years;20 years or more;0
2000;90 years or more;30-39 years;0-4 years;0
2000;90 years or more;30-39 years;5-9 years;0
2000;90 years or more;30-39 years;10-14 years;0
2000;90 years or more;30-39 years;15-19 years;0
2000;90 years or more;30-39 years;20 years or more;0
2000;90 years or more;40-49 years;0-4 years;0
2000;90 years or more;40-49 years;5-9 years;0
2000;90 years or more;40-49 years;10-14 years;0
2000;90 years or more;40-49 years;15-19 years;0
2000;90 years or more;40-49 years;20 years or more;0
2000;90 years or more;50-59 years;0-4 years;0
2000;90 years or more;50-59 years;5-9 years;0
2000;90 years or more;50-59 years;10-14 years;0
2000;90 years or more;50-59 years;15-19 years;0
2000;90 years or more;50-59 years;20 years or more;0
2000;90 years or more;60-69 years;0-4 years;0
2000;90 years or more;60-69 years;5-9 years;0
2000;90 years or more;60-69 years;10-14 years;0
2000;90 years or more;60-69 years;15-19 years;0
2000;90 years or more;60-69 years;20 years or more;0
2000;90 years or more;70-79 years;0-4 years;0
2000;90 years or more;70-79 years;5-9 years;0
2000;90 years or more;70-79 years;10-14 years;0
2000;90 years or more;70-79 years;15-19 years;0
2000;90 years or more;70-79 years;20 years or more;0
2000;90 years or more;80-89 years;0-4 years;0
2000;90 years or more;80-89 years;5-9 years;0
2000;90 years or more;80-89 years;10-14 years;0
2000;90 years or more;80-89 years;15-19 years;0
2000;90 years or more;80-89 years;20 years or more;0
2000;90 years or more;90 years or more;0-4 years;0
2000;90 years or more;90 years or more;5-9 years;0
2000;90 years or more;90 years or more;10-14 years;0
2000;90 years or more;90 years or more;15-19 years;0
2000;90 years or more;90 years or more;20 years or more;0
2001;Less than 20 years;Less than 20 years;0-4 years;0
2001;Less than 20 years;Less than 20 years;5-9 years;0
2001;Less than 20 years;Less than 20 years;10-14 years;0
2001;Less than 20 years;Less than 20 years;15-19 years;0
2001;Less than 20 years;Less than 20 years;20 years or more;0
2001;Less than 20 years;20-29 years;0-4 years;1
2001;Less than 20 years;20-29 years;5-9 years;0
2001;Less than 20 years;20-29 years;10-14 years;0
2001;Less than 20 years;20-29 years;15-19 years;0
2001;Less than 20 years;20-29 years;20 years or more;0
2001;Less than 20 years;30-39 years;0-4 years;0
2001;Less than 20 years;30-39 years;5-9 years;0
2001;Less than 20 years;30-39 years;10-14 years;0
2001;Less than 20 years;30-39 years;15-19 years;0
2001;Less than 20 years;30-39 years;20 years or more;0
2001;Less than 20 years;40-49 years;0-4 years;0
2001;Less than 20 years;40-49 years;5-9 years;0
2001;Less than 20 years;40-49 years;10-14 years;0
2001;Less than 20 years;40-49 years;15-19 years;0
2001;Less than 20 years;40-49 years;20 years or more;0
2001;Less than 20 years;50-59 years;0-4 years;0
2001;Less than 20 years;50-59 years;5-9 years;0
2001;Less than 20 years;50-59 years;10-14 years;0
2001;Less than 20 years;50-59 years;15-19 years;0
2001;Less than 20 years;50-59 years;20 years or more;0
2001;Less than 20 years;60-69 years;0-4 years;0
2001;Less than 20 years;60-69 years;5-9 years;0
2001;Less than 20 years;60-69 years;10-14 years;0
2001;Less than 20 years;60-69 years;15-19 years;0
2001;Less than 20 years;60-69 years;20 years or more;0
2001;Less than 20 years;70-79 years;0-4 years;0
2001;Less than 20 years;70-79 years;5-9 years;0
2001;Less than 20 years;70-79 years;10-14 years;0
2001;Less than 20 years;70-79 years;15-19 years;0
2001;Less than 20 years;70-79 years;20 years or more;0
2001;Less than 20 years;80-89 years;0-4 years;0
2001;Less than 20 years;80-89 years;5-9 years;0
2001;Less than 20 years;80-89 years;10-14 years;0
2001;Less than 20 years;80-89 years;15-19 years;0
2001;Less than 20 years;80-89 years;20 years or more;0
2001;Less than 20 years;90 years or more;0-4 years;0
2001;Less than 20 years;90 years or more;5-9 years;0
2001;Less than 20 years;90 years or more;10-14 years;0
2001;Less than 20 years;90 years or more;15-19 years;0
2001;Less than 20 years;90 years or more;20 years or more;0
2001;20-29 years;Less than 20 years;0-4 years;3
2001;20-29 years;Less than 20 years;5-9 years;0
2001;20-29 years;Less than 20 years;10-14 years;0
2001;20-29 years;Less than 20 years;15-19 years;0
2001;20-29 years;Less than 20 years;20 years or more;0
2001;20-29 years;20-29 years;0-4 years;429
2001;20-29 years;20-29 years;5-9 years;247
2001;20-29 years;20-29 years;10-14 years;6
2001;20-29 years;20-29 years;15-19 years;0
2001;20-29 years;20-29 years;20 years or more;0
2001;20-29 years;30-39 years;0-4 years;114
2001;20-29 years;30-39 years;5-9 years;155
2001;20-29 years;30-39 years;10-14 years;2
2001;20-29 years;30-39 years;15-19 years;0
2001;20-29 years;30-39 years;20 years or more;0
2001;20-29 years;40-49 years;0-4 years;15
2001;20-29 years;40-49 years;5-9 years;28
2001;20-29 years;40-49 years;10-14 years;0
2001;20-29 years;40-49 years;15-19 years;0
2001;20-29 years;40-49 years;20 years or more;0
2001;20-29 years;50-59 years;0-4 years;4
2001;20-29 years;50-59 years;5-9 years;2
2001;20-29 years;50-59 years;10-14 years;0
2001;20-29 years;50-59 years;15-19 years;0
2001;20-29 years;50-59 years;20 years or more;0
2001;20-29 years;60-69 years;0-4 years;1
2001;20-29 years;60-69 years;5-9 years;0
2001;20-29 years;60-69 years;10-14 years;0
2001;20-29 years;60-69 years;15-19 years;0
2001;20-29 years;60-69 years;20 years or more;0
2001;20-29 years;70-79 years;0-4 years;0
2001;20-29 years;70-79 years;5-9 years;0
2001;20-29 years;70-79 years;10-14 years;0
2001;20-29 years;70-79 years;15-19 years;0
2001;20-29 years;70-79 years;20 years or more;0
2001;20-29 years;80-89 years;0-4 years;0
2001;20-29 years;80-89 years;5-9 years;0
2001;20-29 years;80-89 years;10-14 years;0
2001;20-29 years;80-89 years;15-19 years;0
2001;20-29 years;80-89 years;20 years or more;0
2001;20-29 years;90 years or more;0-4 years;0
2001;20-29 years;90 years or more;5-9 years;0
2001;20-29 years;90 years or more;10-14 years;0
2001;20-29 years;90 years or more;15-19 years;0
2001;20-29 years;90 years or more;20 years or more;0
2001;30-39 years;Less than 20 years;0-4 years;0
2001;30-39 years;Less than 20 years;5-9 years;0
2001;30-39 years;Less than 20 years;10-14 years;0
2001;30-39 years;Less than 20 years;15-19 years;0
2001;30-39 years;Less than 20 years;20 years or more;0
2001;30-39 years;20-29 years;0-4 years;438
2001;30-39 years;20-29 years;5-9 years;557
2001;30-39 years;20-29 years;10-14 years;44
2001;30-39 years;20-29 years;15-19 years;0
2001;30-39 years;20-29 years;20 years or more;0
2001;30-39 years;30-39 years;0-4 years;568
2001;30-39 years;30-39 years;5-9 years;1864
2001;30-39 years;30-39 years;10-14 years;1197
2001;30-39 years;30-39 years;15-19 years;182
2001;30-39 years;30-39 years;20 years or more;1
2001;30-39 years;40-49 years;0-4 years;81
2001;30-39 years;40-49 years;5-9 years;322
2001;30-39 years;40-49 years;10-14 years;208
2001;30-39 years;40-49 years;15-19 years;52
2001;30-39 years;40-49 years;20 years or more;2
2001;30-39 years;50-59 years;0-4 years;16
2001;30-39 years;50-59 years;5-9 years;105
2001;30-39 years;50-59 years;10-14 years;34
2001;30-39 years;50-59 years;15-19 years;0
2001;30-39 years;50-59 years;20 years or more;0
2001;30-39 years;60-69 years;0-4 years;0
2001;30-39 years;60-69 years;5-9 years;23
2001;30-39 years;60-69 years;10-14 years;5
2001;30-39 years;60-69 years;15-19 years;1
2001;30-39 years;60-69 years;20 years or more;0
2001;30-39 years;70-79 years;0-4 years;0
2001;30-39 years;70-79 years;5-9 years;4
2001;30-39 years;70-79 years;10-14 years;0
2001;30-39 years;70-79 years;15-19 years;0
2001;30-39 years;70-79 years;20 years or more;0
2001;30-39 years;80-89 years;0-4 years;0
2001;30-39 years;80-89 years;5-9 years;0
2001;30-39 years;80-89 years;10-14 years;0
2001;30-39 years;80-89 years;15-19 years;0
2001;30-39 years;80-89 years;20 years or more;0
2001;30-39 years;90 years or more;0-4 years;0
2001;30-39 years;90 years or more;5-9 years;0
2001;30-39 years;90 years or more;10-14 years;0
2001;30-39 years;90 years or more;15-19 years;0
2001;30-39 years;90 years or more;20 years or more;0
2001;40-49 years;Less than 20 years;0-4 years;0
2001;40-49 years;Less than 20 years;5-9 years;0
2001;40-49 years;Less than 20 years;10-14 years;0
2001;40-49 years;Less than 20 years;15-19 years;0
2001;40-49 years;Less than 20 years;20 years or more;0
2001;40-49 years;20-29 years;0-4 years;43
2001;40-49 years;20-29 years;5-9 years;89
2001;40-49 years;20-29 years;10-14 years;7
2001;40-49 years;20-29 years;15-19 years;0
2001;40-49 years;20-29 years;20 years or more;0
2001;40-49 years;30-39 years;0-4 years;170
2001;40-49 years;30-39 years;5-9 years;615
2001;40-49 years;30-39 years;10-14 years;762
2001;40-49 years;30-39 years;15-19 years;369
2001;40-49 years;30-39 years;20 years or more;35
2001;40-49 years;40-49 years;0-4 years;82
2001;40-49 years;40-49 years;5-9 years;366
2001;40-49 years;40-49 years;10-14 years;594
2001;40-49 years;40-49 years;15-19 years;890
2001;40-49 years;40-49 years;20 years or more;930
2001;40-49 years;50-59 years;0-4 years;14
2001;40-49 years;50-59 years;5-9 years;61
2001;40-49 years;50-59 years;10-14 years;65
2001;40-49 years;50-59 years;15-19 years;57
2001;40-49 years;50-59 years;20 years or more;90
2001;40-49 years;60-69 years;0-4 years;0
2001;40-49 years;60-69 years;5-9 years;16
2001;40-49 years;60-69 years;10-14 years;4
2001;40-49 years;60-69 years;15-19 years;5
2001;40-49 years;60-69 years;20 years or more;3
2001;40-49 years;70-79 years;0-4 years;0
2001;40-49 years;70-79 years;5-9 years;1
2001;40-49 years;70-79 years;10-14 years;0
2001;40-49 years;70-79 years;15-19 years;0
2001;40-49 years;70-79 years;20 years or more;0
2001;40-49 years;80-89 years;0-4 years;0
2001;40-49 years;80-89 years;5-9 years;1
2001;40-49 years;80-89 years;10-14 years;1
2001;40-49 years;80-89 years;15-19 years;0
2001;40-49 years;80-89 years;20 years or more;0
2001;40-49 years;90 years or more;0-4 years;0
2001;40-49 years;90 years or more;5-9 years;0
2001;40-49 years;90 years or more;10-14 years;0
2001;40-49 years;90 years or more;15-19 years;0
2001;40-49 years;90 years or more;20 years or more;0
2001;50-59 years;Less than 20 years;0-4 years;0
2001;50-59 years;Less than 20 years;5-9 years;0
2001;50-59 years;Less than 20 years;10-14 years;0
2001;50-59 years;Less than 20 years;15-19 years;0
2001;50-59 years;Less than 20 years;20 years or more;0
