year;age_group_m;age_group_w;duration;divorces
2019;60-69 years;20-29 years;10-14 years;0
2019;60-69 years;20-29 years;15-19 years;0
2019;60-69 years;20-29 years;20 years or more;0
2019;60-69 years;30-39 years;0-4 years;14
2019;60-69 years;30-39 years;5-9 years;20
2019;60-69 years;30-39 years;10-14 years;20
2019;60-69 years;30-39 years;15-19 years;6
2019;60-69 years;30-39 years;20 years or more;0
2019;60-69 years;40-49 years;0-4 years;19
2019;60-69 years;40-49 years;5-9 years;52
2019;60-69 years;40-49 years;10-14 years;69
2019;60-69 years;40-49 years;15-19 years;59
2019;60-69 years;40-49 years;20 years or more;52
2019;60-69 years;50-59 years;0-4 years;31
2019;60-69 years;50-59 years;5-9 years;67
2019;60-69 years;50-59 years;10-14 years;85
2019;60-69 years;50-59 years;15-19 years;87
2019;60-69 years;50-59 years;20 years or more;637
2019;60-69 years;60-69 years;0-4 years;11
2019;60-69 years;60-69 years;5-9 years;27
2019;60-69 years;60-69 years;10-14 years;37
2019;60-69 years;60-69 years;15-19 years;39
2019;60-69 years;60-69 years;20 years or more;682
2019;60-69 years;70-79 years;0-4 years;0
2019;60-69 years;70-79 years;5-9 years;2
2019;60-69 years;70-79 years;10-14 years;2
2019;60-69 years;70-79 years;15-19 years;6
2019;60-69 years;70-79 years;20 years or more;41
2019;60-69 years;80-89 years;0-4 years;0
2019;60-69 years;80-89 years;5-9 years;0
2019;60-69 years;80-89 years;10-14 years;0
2019;60-69 years;80-89 years;15-19 years;0
2019;60-69 years;80-89 years;20 years or more;1
2019;60-69 years;90 years or more;0-4 years;0
2019;60-69 years;90 years or more;5-9 years;0
2019;60-69 years;90 years or more;10-14 years;0
2019;60-69 years;90 years or more;15-19 years;0
2019;60-69 years;90 years or more;20 years or more;0
2019;70-79 years;Less than 20 years;0-4 years;0
2019;70-79 years;Less than 20 years;5-9 years;0
2019;70-79 years;Less than 20 years;10-14 years;0
2019;70-79 years;Less than 20 years;15-19 years;0
2019;70-79 years;Less than 20 years;20 years or more;0
2019;70-79 years;20-29 years;0-4 years;1
2019;70-79 years;20-29 years;5-9 years;0
2019;70-79 years;20-29 years;10-14 years;0
2019;70-79 years;20-29 years;15-19 years;0
2019;70-79 years;20-29 years;20 years or more;0
2019;70-79 years;30-39 years;0-4 years;1
2019;70-79 years;30-39 years;5-9 years;6
2019;70-79 years;30-39 years;10-14 years;4
2019;70-79 years;30-39 years;15-19 years;2
2019;70-79 years;30-39 years;20 years or more;0
2019;70-79 years;40-49 years;0-4 years;3
2019;70-79 years;40-49 years;5-9 years;7
2019;70-79 years;40-49 years;10-14 years;17
2019;70-79 years;40-49 years;15-19 years;14
2019;70-79 years;40-49 years;20 years or more;9
2019;70-79 years;50-59 years;0-4 years;7
2019;70-79 years;50-59 years;5-9 years;11
2019;70-79 years;50-59 years;10-14 years;6
2019;70-79 years;50-59 years;15-19 years;11
2019;70-79 years;50-59 years;20 years or more;48
2019;70-79 years;60-69 years;0-4 years;6
2019;70-79 years;60-69 years;5-9 years;9
2019;70-79 years;60-69 years;10-14 years;15
2019;70-79 years;60-69 years;15-19 years;13
2019;70-79 years;60-69 years;20 years or more;137
2019;70-79 years;70-79 years;0-4 years;5
2019;70-79 years;70-79 years;5-9 years;5
2019;70-79 years;70-79 years;10-14 years;7
2019;70-79 years;70-79 years;15-19 years;4
2019;70-79 years;70-79 years;20 years or more;110
2019;70-79 years;80-89 years;0-4 years;0
2019;70-79 years;80-89 years;5-9 years;0
2019;70-79 years;80-89 years;10-14 years;1
2019;70-79 years;80-89 years;15-19 years;0
2019;70-79 years;80-89 years;20 years or more;6
2019;70-79 years;90 years or more;0-4 years;0
2019;70-79 years;90 years or more;5-9 years;0
2019;70-79 years;90 years or more;10-14 years;0
2019;70-79 years;90 years or more;15-19 years;0
2019;70-79 years;90 years or more;20 years or more;0
2019;80-89 years;Less than 20 years;0-4 years;0
2019;80-89 years;Less than 20 years;5-9 years;0
2019;80-89 years;Less than 20 years;10-14 years;0
2019;80-89 years;Less than 20 years;15-19 years;0
2019;80-89 years;Less than 20 years;20 years or more;0
2019;80-89 years;20-29 years;0-4 years;0
2019;80-89 years;20-29 years;5-9 years;0
2019;80-89 years;20-29 years;10-14 years;0
2019;80-89 years;20-29 years;15-19 years;0
2019;80-89 years;20-29 years;20 years or more;0
2019;80-89 years;30-39 years;0-4 years;1
2019;80-89 years;30-39 years;5-9 years;1
2019;80-89 years;30-39 years;10-14 years;1
2019;80-89 years;30-39 years;15-19 years;0
2019;80-89 years;30-39 years;20 years or more;0
2019;80-89 years;40-49 years;0-4 years;1
2019;80-89 years;40-49 years;5-9 years;0
2019;80-89 years;40-49 years;10-14 years;0
2019;80-89 years;40-49 years;15-19 years;2
2019;80-89 years;40-49 years;20 years or more;2
2019;80-89 years;50-59 years;0-4 years;1
2019;80-89 years;50-59 years;5-9 years;2
2019;80-89 years;50-59 years;10-14 years;0
2019;80-89 years;50-59 years;15-19 years;0
2019;80-89 years;50-59 years;20 years or more;2
2019;80-89 years;60-69 years;0-4 years;2
2019;80-89 years;60-69 years;5-9 years;2
2019;80-89 years;60-69 years;10-14 years;5
2019;80-89 years;60-69 years;15-19 years;3
2019;80-89 years;60-69 years;20 years or more;8
2019;80-89 years;70-79 years;0-4 years;1
2019;80-89 years;70-79 years;5-9 years;0
2019;80-89 years;70-79 years;10-14 years;1
2019;80-89 years;70-79 years;15-19 years;1
2019;80-89 years;70-79 years;20 years or more;15
2019;80-89 years;80-89 years;0-4 years;0
2019;80-89 years;80-89 years;5-9 years;0
2019;80-89 years;80-89 years;10-14 years;0
2019;80-89 years;80-89 years;15-19 years;1
2019;80-89 years;80-89 years;20 years or more;17
2019;80-89 years;90 years or more;0-4 years;0
2019;80-89 years;90 years or more;5-9 years;0
2019;80-89 years;90 years or more;10-14 years;0
2019;80-89 years;90 years or more;15-19 years;0
2019;80-89 years;90 years or more;20 years or more;0
2019;90 years or more;Less than 20 years;0-4 years;0
2019;90 years or more;Less than 20 years;5-9 years;0
2019;90 years or more;Less than 20 years;10-14 years;0
2019;90 years or more;Less than 20 years;15-19 years;0
2019;90 years or more;Less than 20 years;20 years or more;0
2019;90 years or more;20-29 years;0-4 years;0
2019;90 years or more;20-29 years;5-9 years;0
2019;90 years or more;20-29 years;10-14 years;0
2019;90 years or more;20-29 years;15-19 years;0
2019;90 years or more;20-29 years;20 years or more;0
2019;90 years or more;30-39 years;0-4 years;0
2019;90 years or more;30-39 years;5-9 years;0
2019;90 years or more;30-39 years;10-14 years;0
2019;90 years or more;30-39 years;15-19 years;0
2019;90 years or more;30-39 years;20 years or more;0
2019;90 years or more;40-49 years;0-4 years;0
2019;90 years or more;40-49 years;5-9 years;0
2019;90 years or more;40-49 years;10-14 years;0
2019;90 years or more;40-49 years;15-19 years;1
2019;90 years or more;40-49 years;20 years or more;0
2019;90 years or more;50-59 years;0-4 years;0
2019;90 years or more;50-59 years;5-9 years;0
2019;90 years or more;50-59 years;10-14 years;0
2019;90 years or more;50-59 years;15-19 years;0
2019;90 years or more;50-59 years;20 years or more;0
2019;90 years or more;60-69 years;0-4 years;0
2019;90 years or more;60-69 years;5-9 years;0
2019;90 years or more;60-69 years;10-14 years;0
2019;90 years or more;60-69 years;15-19 years;0
2019;90 years or more;60-69 years;20 years or more;0
2019;90 years or more;70-79 years;0-4 years;0
2019;90 years or more;70-79 years;5-9 years;0
2019;90 years or more;70-79 years;10-14 years;0
2019;90 years or more;70-79 years;15-19 years;0
2019;90 years or more;70-79 years;20 years or more;0
2019;90 years or more;80-89 years;0-4 years;1
2019;90 years or more;80-89 years;5-9 years;0
2019;90 years or more;80-89 years;10-14 years;0
2019;90 years or more;80-89 years;15-19 years;0
2019;90 years or more;80-89 years;20 years or more;1
2019;90 years or more;90 years or more;0-4 years;0
2019;90 years or more;90 years or more;5-9 years;0
2019;90 years or more;90 years or more;10-14 years;0
2019;90 years or more;90 years or more;15-19 years;0
2019;90 years or more;90 years or more;20 years or more;0
2020;Less than 20 years;Less than 20 years;0-4 years;0
2020;Less than 20 years;Less than 20 years;5-9 years;0
2020;Less than 20 years;Less than 20 years;10-14 years;0
2020;Less than 20 years;Less than 20 years;15-19 years;0
2020;Less than 20 years;Less than 20 years;20 years or more;0
2020;Less than 20 years;20-29 years;0-4 years;1
2020;Less than 20 years;20-29 years;5-9 years;0
2020;Less than 20 years;20-29 years;10-14 years;0
2020;Less than 20 years;20-29 years;15-19 years;0
2020;Less than 20 years;20-29 years;20 years or more;0
2020;Less than 20 years;30-39 years;0-4 years;0
2020;Less than 20 years;30-39 years;5-9 years;0
2020;Less than 20 years;30-39 years;10-14 years;0
2020;Less than 20 years;30-39 years;15-19 years;0
2020;Less than 20 years;30-39 years;20 years or more;0
2020;Less than 20 years;40-49 years;0-4 years;0
2020;Less than 20 years;40-49 years;5-9 years;0
2020;Less than 20 years;40-49 years;10-14 years;0
2020;Less than 20 years;40-49 years;15-19 years;0
2020;Less than 20 years;40-49 years;20 years or more;0
2020;Less than 20 years;50-59 years;0-4 years;0
2020;Less than 20 years;50-59 years;5-9 years;0
2020;Less than 20 years;50-59 years;10-14 years;0
2020;Less than 20 years;50-59 years;15-19 years;0
2020;Less than 20 years;50-59 years;20 years or more;0
2020;Less than 20 years;60-69 years;0-4 years;0
2020;Less than 20 years;60-69 years;5-9 years;0
2020;Less than 20 years;60-69 years;10-14 years;0
2020;Less than 20 years;60-69 years;15-19 years;0
2020;Less than 20 years;60-69 years;20 years or more;0
2020;Less than 20 years;70-79 years;0-4 years;0
2020;Less than 20 years;70-79 years;5-9 years;0
2020;Less than 20 years;70-79 years;10-14 years;0
2020;Less than 20 years;70-79 years;15-19 years;0
2020;Less than 20 years;70-79 years;20 years or more;0
2020;Less than 20 years;80-89 years;0-4 years;0
2020;Less than 20 years;80-89 years;5-9 years;0
2020;Less than 20 years;80-89 years;10-14 years;0
2020;Less than 20 years;80-89 years;15-19 years;0
2020;Less than 20 years;80-89 years;20 years or more;0
2020;Less than 20 years;90 years or more;0-4 years;0
2020;Less than 20 years;90 years or more;5-9 years;0
2020;Less than 20 years;90 years or more;10-14 years;0
2020;Less than 20 years;90 years or more;15-19 years;0
2020;Less than 20 years;90 years or more;20 years or more;0
2020;20-29 years;Less than 20 years;0-4 years;1
2020;20-29 years;Less than 20 years;5-9 years;0
2020;20-29 years;Less than 20 years;10-14 years;0
2020;20-29 years;Less than 20 years;15-19 years;0
2020;20-29 years;Less than 20 years;20 years or more;0
2020;20-29 years;20-29 years;0-4 years;283
2020;20-29 years;20-29 years;5-9 years;114
2020;20-29 years;20-29 years;10-14 years;1
2020;20-29 years;20-29 years;15-19 years;0
2020;20-29 years;20-29 years;20 years or more;0
2020;20-29 years;30-39 years;0-4 years;66
2020;20-29 years;30-39 years;5-9 years;59
2020;20-29 years;30-39 years;10-14 years;2
2020;20-29 years;30-39 years;15-19 years;0
2020;20-29 years;30-39 years;20 years or more;0
2020;20-29 years;40-49 years;0-4 years;5
2020;20-29 years;40-49 years;5-9 years;4
2020;20-29 years;40-49 years;10-14 years;0
2020;20-29 years;40-49 years;15-19 years;0
2020;20-29 years;40-49 years;20 years or more;0
2020;20-29 years;50-59 years;0-4 years;1
2020;20-29 years;50-59 years;5-9 years;3
2020;20-29 years;50-59 years;10-14 years;0
2020;20-29 years;50-59 years;15-19 years;0
2020;20-29 years;50-59 years;20 years or more;0
2020;20-29 years;60-69 years;0-4 years;0
2020;20-29 years;60-69 years;5-9 years;1
2020;20-29 years;60-69 years;10-14 years;0
2020;20-29 years;60-69 years;15-19 years;0
2020;20-29 years;60-69 years;20 years or more;0
2020;20-29 years;70-79 years;0-4 years;0
2020;20-29 years;70-79 years;5-9 years;0
2020;20-29 years;70-79 years;10-14 years;0
2020;20-29 years;70-79 years;15-19 years;0
2020;20-29 years;70-79 years;20 years or more;0
2020;20-29 years;80-89 years;0-4 years;0
2020;20-29 years;80-89 years;5-9 years;0
2020;20-29 years;80-89 years;10-14 years;0
2020;20-29 years;80-89 years;15-19 years;0
2020;20-29 years;80-89 years;20 years or more;0
2020;20-29 years;90 years or more;0-4 years;0
2020;20-29 years;90 years or more;5-9 years;0
2020;20-29 years;90 years or more;10-14 years;0
2020;20-29 years;90 years or more;15-19 years;0
2020;20-29 years;90 years or more;20 years or more;0
2020;30-39 years;Less than 20 years;0-4 years;0
2020;30-39 years;Less than 20 years;5-9 years;0
2020;30-39 years;Less than 20 years;10-14 years;0
2020;30-39 years;Less than 20 years;15-19 years;0
2020;30-39 years;Less than 20 years;20 years or more;0
2020;30-39 years;20-29 years;0-4 years;280
2020;30-39 years;20-29 years;5-9 years;228
2020;30-39 years;20-29 years;10-14 years;29
2020;30-39 years;20-29 years;15-19 years;0
2020;30-39 years;20-29 years;20 years or more;0
2020;30-39 years;30-39 years;0-4 years;556
2020;30-39 years;30-39 years;5-9 years;1173
2020;30-39 years;30-39 years;10-14 years;556
2020;30-39 years;30-39 years;15-19 years;101
2020;30-39 years;30-39 years;20 years or more;0
2020;30-39 years;40-49 years;0-4 years;49
2020;30-39 years;40-49 years;5-9 years;196
2020;30-39 years;40-49 years;10-14 years;140
2020;30-39 years;40-49 years;15-19 years;32
2020;30-39 years;40-49 years;20 years or more;1
2020;30-39 years;50-59 years;0-4 years;13
2020;30-39 years;50-59 years;5-9 years;44
2020;30-39 years;50-59 years;10-14 years;21
2020;30-39 years;50-59 years;15-19 years;4
2020;30-39 years;50-59 years;20 years or more;0
2020;30-39 years;60-69 years;0-4 years;2
2020;30-39 years;60-69 years;5-9 years;12
2020;30-39 years;60-69 years;10-14 years;6
2020;30-39 years;60-69 years;15-19 years;1
2020;30-39 years;60-69 years;20 years or more;0
2020;30-39 years;70-79 years;0-4 years;0
2020;30-39 years;70-79 years;5-9 years;0
2020;30-39 years;70-79 years;10-14 years;0
2020;30-39 years;70-79 years;15-19 years;0
2020;30-39 years;70-79 years;20 years or more;0
2020;30-39 years;80-89 years;0-4 years;0
2020;30-39 years;80-89 years;5-9 years;0
2020;30-39 years;80-89 years;10-14 years;0
2020;30-39 years;80-89 years;15-19 years;0
2020;30-39 years;80-89 years;20 years or more;0
2020;30-39 years;90 years or more;0-4 years;0
2020;30-39 years;90 years or more;5-9 years;0
2020;30-39 years;90 years or more;10-14 years;0
2020;30-39 years;90 years or more;15-19 years;0
2020;30-39 years;90 years or more;20 years or more;0
2020;40-49 years;Less than 20 years;0-4 years;0
2020;40-49 years;Less than 20 years;5-9 years;0
2020;40-49 years;Less than 20 years;10-14 years;0
2020;40-49 years;Less than 20 years;15-19 years;0
2020;40-49 years;Less than 20 years;20 years or more;0
2020;40-49 years;20-29 years;0-4 years;25
2020;40-49 years;20-29 years;5-9 years;34
2020;40-49 years;20-29 years;10-14 years;2
2020;40-49 years;20-29 years;15-19 years;0
2020;40-49 years;20-29 years;20 years or more;0
2020;40-49 years;30-39 years;0-4 years;159
2020;40-49 years;30-39 years;5-9 years;512
2020;40-49 years;30-39 years;10-14 years;516
2020;40-49 years;30-39 years;15-19 years;219
2020;40-49 years;30-39 years;20 years or more;25
2020;40-49 years;40-49 years;0-4 years;112
2020;40-49 years;40-49 years;5-9 years;463
2020;40-49 years;40-49 years;10-14 years;882
2020;40-49 years;40-49 years;15-19 years;894
2020;40-49 years;40-49 years;20 years or more;532
2020;40-49 years;50-59 years;0-4 years;22
2020;40-49 years;50-59 years;5-9 years;78
2020;40-49 years;50-59 years;10-14 years;105
2020;40-49 years;50-59 years;15-19 years;129
2020;40-49 years;50-59 years;20 years or more;132
2020;40-49 years;60-69 years;0-4 years;4
2020;40-49 years;60-69 years;5-9 years;17
2020;40-49 years;60-69 years;10-14 years;23
2020;40-49 years;60-69 years;15-19 years;11
2020;40-49 years;60-69 years;20 years or more;8
2020;40-49 years;70-79 years;0-4 years;0
2020;40-49 years;70-79 years;5-9 years;2
2020;40-49 years;70-79 years;10-14 years;4
2020;40-49 years;70-79 years;15-19 years;1
2020;40-49 years;70-79 years;20 years or more;0
2020;40-49 years;80-89 years;0-4 years;0
2020;40-49 years;80-89 years;5-9 years;0
2020;40-49 years;80-89 years;10-14 years;2
2020;40-49 years;80-89 years;15-19 years;1
2020;40-49 years;80-89 years;20 years or more;0
2020;40-49 years;90 years or more;0-4 years;0
2020;40-49 years;90 years or more;5-9 years;0
2020;40-49 years;90 years or more;10-14 years;0
2020;40-49 years;90 years or more;15-19 years;0
2020;40-49 years;90 years or more;20 years or more;0
2020;50-59 years;Less than 20 years;0-4 years;0
2020;50-59 years;Less than 20 years;5-9 years;0
2020;50-59 years;Less than 20 years;10-14 years;0
2020;50-59 years;Less than 20 years;15-19 years;0
2020;50-59 years;Less than 20 years;20 years or more;0
2020;50-59 years;20-29 years;0-4 years;9
2020;50-59 years;20-29 years;5-9 years;7
2020;50-59 years;20-29 years;10-14 years;1
2020;50-59 years;20-29 years;15-19 years;0
2020;50-59 years;20-29 years;20 years or more;0
2020;50-59 years;30-39 years;0-4 years;45
2020;50-59 years;30-39 years;5-9 years;103
2020;50-59 years;30-39 years;10-14 years;86
2020;50-59 years;30-39 years;15-19 years;33
2020;50-59 years;30-39 years;20 years or more;3
2020;50-59 years;40-49 years;0-4 years;65
2020;50-59 years;40-49 years;5-9 years;228
2020;50-59 years;40-49 years;10-14 years;360
2020;50-59 years;40-49 years;15-19 years;416
2020;50-59 years;40-49 years;20 years or more;635
2020;50-59 years;50-59 years;0-4 years;46
2020;50-59 years;50-59 years;5-9 years;140
2020;50-59 years;50-59 years;10-14 years;174
2020;50-59 years;50-59 years;15-19 years;310
2020;50-59 years;50-59 years;20 years or more;1930
2020;50-59 years;60-69 years;0-4 years;6
2020;50-59 years;60-69 years;5-9 years;21
2020;50-59 years;60-69 years;10-14 years;25
2020;50-59 years;60-69 years;15-19 years;31
2020;50-59 years;60-69 years;20 years or more;166
2020;50-59 years;70-79 years;0-4 years;0
2020;50-59 years;70-79 years;5-9 years;1
2020;50-59 years;70-79 years;10-14 years;3
2020;50-59 years;70-79 years;15-19 years;3
2020;50-59 years;70-79 years;20 years or more;3
2020;50-59 years;80-89 years;0-4 years;1
2020;50-59 years;80-89 years;5-9 years;0
2020;50-59 years;80-89 years;10-14 years;1
2020;50-59 years;80-89 years;15-19 years;0
2020;50-59 years;80-89 years;20 years or more;1
2020;50-59 years;90 years or more;0-4 years;0
2020;50-59 years;90 years or more;5-9 years;0
2020;50-59 years;90 years or more;10-14 years;0
2020;50-59 years;90 years or more;15-19 years;0
2020;50-59 years;90 years or more;20 years or more;0
2020;60-69 years;Less than 20 years;0-4 years;0
2020;60-69 years;Less than 20 years;5-9 years;0
2020;60-69 years;Less than 20 years;10-14 years;0
2020;60-69 years;Less than 20 years;15-19 years;0
2020;60-69 years;Less than 20 years;20 years or more;0
2020;60-69 years;20-29 years;0-4 years;0
2020;60-69 years;20-29 years;5-9 years;3
2020;60-69 years;20-29 years;10-14 years;0
2020;60-69 years;20-29 years;15-19 years;0
2020;60-69 years;20-29 years;20 years or more;0
2020;60-69 years;30-39 years;0-4 years;8
2020;60-69 years;30-39 years;5-9 years;24
2020;60-69 years;30-39 years;10-14 years;17
2020;60-69 years;30-39 years;15-19 years;10
2020;60-69 years;30-39 years;20 years or more;0
2020;60-69 years;40-49 years;0-4 years;18
2020;60-69 years;40-49 years;5-9 years;59
2020;60-69 years;40-49 years;10-14 years;60
2020;60-69 years;40-49 years;15-19 years;70
2020;60-69 years;40-49 years;20 years or more;52
2020;60-69 years;50-59 years;0-4 years;23
2020;60-69 years;50-59 years;5-9 years;57
2020;60-69 years;50-59 years;10-14 years;63
2020;60-69 years;50-59 years;15-19 years;78
2020;60-69 years;50-59 years;20 years or more;580
2020;60-69 years;60-69 years;0-4 years;11
2020;60-69 years;60-69 years;5-9 years;27
2020;60-69 years;60-69 years;10-14 years;35
2020;60-69 years;60-69 years;15-19 years;25
2020;60-69 years;60-69 years;20 years or more;701
2020;60-69 years;70-79 years;0-4 years;0
2020;60-69 years;70-79 years;5-9 years;2
2020;60-69 years;70-79 years;10-14 years;1
2020;60-69 years;70-79 years;15-19 years;6
2020;60-69 years;70-79 years;20 years or more;33
2020;60-69 years;80-89 years;0-4 years;0
2020;60-69 years;80-89 years;5-9 years;0
2020;60-69 years;80-89 years;10-14 years;0
2020;60-69 years;80-89 years;15-19 years;0
2020;60-69 years;80-89 years;20 years or more;1
2020;60-69 years;90 years or more;0-4 years;0
2020;60-69 years;90 years or more;5-9 years;0
2020;60-69 years;90 years or more;10-14 years;0
2020;60-69 years;90 years or more;15-19 years;0
2020;60-69 years;90 years or more;20 years or more;1
2020;70-79 years;Less than 20 years;0-4 years;0
2020;70-79 years;Less than 20 years;5-9 years;0
2020;70-79 years;Less than 20 years;10-14 years;0
2020;70-79 years;Less than 20 years;15-19 years;0
2020;70-79 years;Less than 20 years;20 years or more;0
2020;70-79 years;20-29 years;0-4 years;0
2020;70-79 years;20-29 years;5-9 years;1
2020;70-79 years;20-29 years;10-14 years;0
2020;70-79 years;20-29 years;15-19 years;0
2020;70-79 years;20-29 years;20 years or more;0
2020;70-79 years;30-39 years;0-4 years;0
2020;70-79 years;30-39 years;5-9 years;2
2020;70-79 years;30-39 years;10-14 years;8
2020;70-79 years;30-39 years;15-19 years;1
2020;70-79 years;30-39 years;20 years or more;0
2020;70-79 years;40-49 years;0-4 years;2
2020;70-79 years;40-49 years;5-9 years;9
2020;70-79 years;40-49 years;10-14 years;12
2020;70-79 years;40-49 years;15-19 years;13
2020;70-79 years;40-49 years;20 years or more;9
2020;70-79 years;50-59 years;0-4 years;3
2020;70-79 years;50-59 years;5-9 years;8
2020;70-79 years;50-59 years;10-14 years;16
2020;70-79 years;50-59 years;15-19 years;9
2020;70-79 years;50-59 years;20 years or more;35
2020;70-79 years;60-69 years;0-4 years;5
2020;70-79 years;60-69 years;5-9 years;6
2020;70-79 years;60-69 years;10-14 years;12
2020;70-79 years;60-69 years;15-19 years;21
2020;70-79 years;60-69 years;20 years or more;146
2020;70-79 years;70-79 years;0-4 years;1
2020;70-79 years;70-79 years;5-9 years;5
2020;70-79 years;70-79 years;10-14 years;4
2020;70-79 years;70-79 years;15-19 years;9
2020;70-79 years;70-79 years;20 years or more;104
2020;70-79 years;80-89 years;0-4 years;0
2020;70-79 years;80-89 years;5-9 years;0
2020;70-79 years;80-89 years;10-14 years;0
2020;70-79 years;80-89 years;15-19 years;0
2020;70-79 years;80-89 years;20 years or more;4
2020;70-79 years;90 years or more;0-4 years;0
2020;70-79 years;90 years or more;5-9 years;0
2020;70-79 years;90 years or more;10-14 years;0
2020;70-79 years;90 years or more;15-19 years;0
2020;70-79 years;90 years or more;20 years or more;0
2020;80-89 years;Less than 20 years;0-4 years;0
2020;80-89 years;Less than 20 years;5-9 years;0
2020;80-89 years;Less than 20 years;10-14 years;0
2020;80-89 years;Less than 20 years;15-19 years;0
2020;80-89 years;Less than 20 years;20 years or more;0
2020;80-89 years;20-29 years;0-4 years;0
2020;80-89 years;20-29 years;5-9 years;0
2020;80-89 years;20-29 years;10-14 years;0
2020;80-89 years;20-29 years;15-19 years;0
2020;80-89 years;20-29 years;20 years or more;0
2020;80-89 years;30-39 years;0-4 years;0
2020;80-89 years;30-39 years;5-9 years;1
2020;80-89 years;30-39 years;10-14 years;0
2020;80-89 years;30-39 years;15-19 years;0
2020;80-89 years;30-39 years;20 years or more;0
2020;80-89 years;40-49 years;0-4 years;0
2020;80-89 years;40-49 years;5-9 years;0
2020;80-89 years;40-49 years;10-14 years;0
2020;80-89 years;40-49 years;15-19 years;0
2020;80-89 years;40-49 years;20 years or more;0
2020;80-89 years;50-59 years;0-4 years;0
2020;80-89 years;50-59 years;5-9 years;0
2020;80-89 years;50-59 years;10-14 years;1
2020;80-89 years;50-59 years;15-19 years;3
2020;80-89 years;50-59 years;20 years or more;2
2020;80-89 years;60-69 years;0-4 years;0
2020;80-89 years;60-69 years;5-9 years;0
2020;80-89 years;60-69 years;10-14 years;1
2020;80-89 years;60-69 years;15-19 years;0
2020;80-89 years;60-69 years;20 years or more;15
2020;80-89 years;70-79 years;0-4 years;0
2020;80-89 years;70-79 years;5-9 years;0
2020;80-89 years;70-79 years;10-14 years;2
2020;80-89 years;70-79 years;15-19 years;0
2020;80-89 years;70-79 years;20 years or more;8
2020;80-89 years;80-89 years;0-4 years;1
2020;80-89 years;80-89 years;5-9 years;1
2020;80-89 years;80-89 years;10-14 years;0
2020;80-89 years;80-89 years;15-19 years;0
2020;80-89 years;80-89 years;20 years or more;11
2020;80-89 years;90 years or more;0-4 years;0
2020;80-89 years;90 years or more;5-9 years;0
2020;80-89 years;90 years or more;10-14 years;0
2020;80-89 years;90 years or more;15-19 years;0
2020;80-89 years;90 years or more;20 years or more;1
2020;90 years or more;Less than 20 years;0-4 years;0
2020;90 years or more;Less than 20 years;5-9 years;0
2020;90 years or more;Less than 20 years;10-14 years;0
2020;90 years or more;Less than 20 years;15-19 years;0
2020;90 years or more;Less than 20 years;20 years or more;0
2020;90 years or more;20-29 years;0-4 years;0
2020;90 years or more;20-29 years;5-9 years;0
2020;90 years or more;20-29 years;10-14 years;0
2020;90 years or more;20-29 years;15-19 years;0
2020;90 years or more;20-29 years;20 years or more;0
2020;90 years or more;30-39 years;0-4 years;0
2020;90 years or more;30-39 years;5-9 years;0
2020;90 years or more;30-39 years;10-14 years;0
2020;90 years or more;30-39 years;15-19 years;0
2020;90 years or more;30-39 years;20 years or more;0
2020;90 years or more;40-49 years;0-4 years;0
2020;90 years or more;40-49 years;5-9 years;0
2020;90 years or more;40-49 years;10-14 years;0
2020;90 years or more;40-49 years;15-19 years;0
2020;90 years or more;40-49 years;20 years or more;0
2020;90 years or more;50-59 years;0-4 years;0
2020;90 years or more;50-59 years;5-9 years;0
2020;90 years or more;50-59 years;10-14 years;0
2020;90 years or more;50-59 years;15-19 years;0
2020;90 years or more;50-59 years;20 years or more;0
2020;90 years or more;60-69 years;0-4 years;0
2020;90 years or more;60-69 years;5-9 years;0
2020;90 years or more;60-69 years;10-14 years;0
2020;90 years or more;60-69 years;15-19 years;0
2020;90 years or more;60-69 years;20 years or more;0
2020;90 years or more;70-79 years;0-4 years;0
2020;90 years or more;70-79 years;5-9 years;0
2020;90 years or more;70-79 years;10-14 years;0
2020;90 years or more;70-79 years;15-19 years;0
2020;90 years or more;70-79 years;20 years or more;0
2020;90 years or more;80-89 years;0-4 years;0
2020;90 years or more;80-89 years;5-9 years;0
2020;90 years or more;80-89 years;10-14 years;0
2020;90 years or more;80-89 years;15-19 years;0
2020;90 years or more;80-89 years;20 years or more;1
2020;90 years or more;90 years or more;0-4 years;0
2020;90 years or more;90 years or more;5-9 years;0
2020;90 years or more;90 years or more;10-14 years;0
2020;90 years or more;90 years or more;15-19 years;0
2020;90 years or more;90 years or more;20 years or more;0
2021;Less than 20 years;Less than 20 years;0-4 years;0
2021;Less than 20 years;Less than 20 years;5-9 years;0
2021;Less than 20 years;Less than 20 years;10-14 years;0
2021;Less than 20 years;Less than 20 years;15-19 years;0
2021;Less than 20 years;Less than 20 years;20 years or more;0
2021;Less than 20 years;20-29 years;0-4 years;0
2021;Less than 20 years;20-29 years;5-9 years;0
2021;Less than 20 years;20-29 years;10-14 years;0
2021;Less than 20 years;20-29 years;15-19 years;0
2021;Less than 20 years;20-29 years;20 years or more;0
2021;Less than 20 years;30-39 years;0-4 years;0
2021;Less than 20 years;30-39 years;5-9 years;0
2021;Less than 20 years;30-39 years;10-14 years;0
2021;Less than 20 years;30-39 years;15-19 years;0
2021;Less than 20 years;30-39 years;20 years or more;0
2021;Less than 20 years;40-49 years;0-4 years;0
2021;Less than 20 years;40-49 years;5-9 years;0
2021;Less than 20 years;40-49 years;10-14 years;0
