hid,wp,age,gender,marital_status,employment,driving_licence,age_discrete,htype,hsize,nbcars,nbcars_agg,role
220693,2.01865998211913,11,2,1,5,2,1,220,8,2,2,7
430110,2.27233629953961,34,1,1,1,1,4,10,1,1,1,1
317791,0.38286333988269,82,2,2,4,2,6,10,1,0,0,1
415145,0.88776831215131,60,1,2,1,1,5,210,2,1,1,1
229156,1.00673727854421,10,2,1,5,2,1,220,5,1,1,5
224737,2.02390468173877,24,2,1,1,1,4,220,4,3,3,3
214717,1.34585910036908,12,2,1,5,2,1,220,5,2,2,3
203632,1.42802083422423,20,2,1,3,1,3,230,4,2,2,3
420757,1.03217053336468,69,1,2,4,1,6,210,2,1,1,1
312813,0.63498789244603,43,2,2,1,2,4,220,4,1,1,2
220102,1.50800709422707,88,1,2,4,2,6,210,2,0,0,1
325569,1.59436865447041,12,1,1,5,2,1,220,4,2,2,4
318807,1.11361352185559,75,1,2,4,1,6,210,2,2,2,1
202110,0.96793975902035,52,2,2,1,1,5,210,2,1,1,2
400067,0.98958431635934,76,1,2,4,1,6,210,2,2,2,1
512605,0.77808841230124,64,2,2,4,2,5,210,2,0,0,1
104252,0.70043793250488,74,2,2,4,2,6,210,2,1,1,1
107754,0.64507638846458,40,1,1,1,1,4,220,4,2,2,2
215564,1.76212399695395,11,1,1,5,2,1,220,5,2,2,5
201768,3.0939092524274,55,2,2,1,1,5,220,5,1,1,2
305753,0.68187295525602,12,2,1,5,2,1,220,4,1,1,4
502733,2.36454588518363,24,1,1,1,1,4,220,5,3,3,3
516398,0.72176507141583,44,1,2,1,1,5,220,3,4,4,1
411015,0.76370575259865,15,2,1,3,2,2,220,5,1,1,3
503811,1.47803773622058,10,1,1,5,2,1,220,4,2,2,3
520433,0.97411759776622,58,2,2,1,1,5,220,3,2,2,2
424871,0.42210989119664,16,2,1,1,2,2,230,4,4,4,4
221480,1.45524297873507,10,1,1,5,2,1,220,5,2,2,4
516588,2.04756583363477,14,2,1,5,2,1,220,5,1,1,3
