person_id,birth,gender,primary_hh,death
636,1944,F,5717767.0,2025
637,1944,F,5717768.0,9999
638,1946,F,5717769.0,9999
639,1981,M,5717770.0,9999
640,1924,M,5717771.0,2014
641,1939,F,5717772.0,2017
642,1960,F,5717773.0,9999
643,1960,F,5717774.0,9999
644,1960,F,5717775.0,9999
645,1982,F,5717776.0,9999
646,1982,F,5717777.0,9999
647,1929,F,5717778.0,2015
648,1962,M,5717779.0,9999
649,1968,F,5717780.0,9999
650,1993,M,100735.0,9999
651,1996,F,100735.0,9999
652,2001,F,100735.0,9999
653,1945,F,5717784.0,9999
654,1947,M,5717785.0,9999
655,1927,M,5717786.0,2024
656,1927,M,5717787.0,2016
657,1927,M,5717788.0,2012
658,1932,F,5717789.0,2025
659,1932,F,5717790.0,9999
660,1932,F,5717791.0,2021
661,1972,M,5717792.0,9999
662,1972,M,5717793.0,2022
663,1986,F,5717794.0,9999
664,1986,F,5717795.0,9999
665,2008,F,100764.0,9999
666,2008,F,621711.0,9999
667,1938,F,5717798.0,9999
668,1949,F,5717799.0,9999
669,1955,F,5717800.0,9999
670,1955,F,5717801.0,9999
671,1959,M,5717802.0,9999
672,1959,M,5717803.0,9999
673,1987,M,100773.0,9999
674,1987,M,621720.0,9999
675,1989,M,100773.0,9999
676,1989,M,621720.0,9999
677,1925,M,5717808.0,2011
678,1925,M,5717809.0,2014
679,1939,F,5717810.0,9999
680,1952,F,5717811.0,9999
681,1926,M,5717812.0,2017
682,1942,F,5717813.0,9999
683,1935,M,5717814.0,9999
684,1941,F,5717815.0,9999
685,1945,M,5717816.0,9999
686,1947,F,5717817.0,9999
687,1976,M,100815.0,9999
688,1955,M,5717819.0,2015
689,1965,F,5717820.0,9999
690,1990,M,100816.0,9999
691,1992,F,100816.0,9999
692,1976,M,5717823.0,9999
693,1976,M,5717824.0,9999
694,1977,F,5717825.0,9999
695,1977,F,5717826.0,9999
696,1945,M,5717827.0,2024
697,1945,M,5717828.0,9999
698,1951,F,5717829.0,9999
699,1951,F,5717830.0,9999
700,1976,M,5717831.0,9999
701,1985,F,5717832.0,9999
702,1948,F,5717833.0,2024
703,1948,F,5717834.0,9999
704,1981,F,5717835.0,9999
705,1981,F,5717836.0,9999
706,1981,F,5717837.0,9999
707,1981,F,5717838.0,9999
708,1982,M,5717839.0,9999
709,1982,M,5717840.0,9999
710,1982,M,5717841.0,9999
711,1982,M,5717842.0,9999
712,2006,M,100827.0,9999
713,2006,M,621774.0,9999
714,2006,M,1142721.0,9999
715,2006,M,1663668.0,9999
716,2010,F,100827.0,9999
717,2010,F,621774.0,9999
718,2010,F,1142721.0,9999
719,2010,F,1663668.0,9999
720,1935,M,5717851.0,9999
721,1935,M,5717852.0,2016
722,1937,F,5717853.0,9999
723,1937,F,5717854.0,2016
724,1985,M,5717855.0,9999
725,1956,F,5717856.0,9999
726,1956,F,5717857.0,9999
727,1956,F,5717858.0,2023
728,1981,F,100835.0,9999
729,1981,F,621782.0,9999
730,1981,F,1142729.0,9999
731,1963,M,5717862.0,9999
732,1967,F,5717863.0,9999
733,2001,F,100842.0,9999
734,1922,F,5717865.0,2013
735,1936,M,5717866.0,2022
736,1970,F,5717867.0,9999
737,1991,F,100845.0,9999
738,1994,M,100845.0,9999
739,1942,F,5717870.0,9999
740,1961,M,5717871.0,9999
741,1961,M,5717872.0,2023
742,1978,F,5717873.0,9999
743,1978,F,5717874.0,9999
744,1938,M,5717875.0,2023
745,1941,F,5717876.0,9999
746,1973,F,5717877.0,2019
747,1973,F,5717878.0,9999
748,1973,F,5717879.0,2013
749,1934,M,5717880.0,2024
750,1934,M,5717881.0,2015
751,1937,F,5717882.0,9999
752,1937,F,5717883.0,2019
753,1980,F,5717884.0,9999
754,1985,F,5717885.0,9999
755,1985,F,5717886.0,9999
756,1985,F,5717887.0,9999
757,1986,M,5717888.0,9999
758,1986,M,5717889.0,9999
759,1986,M,5717890.0,9999
760,1955,M,5717891.0,9999
761,1957,F,5717892.0,9999
762,1994,M,100883.0,9999
763,1965,M,5717894.0,9999
764,1965,M,5717895.0,9999
765,1966,F,5717896.0,9999
766,1966,F,5717897.0,9999
767,1964,F,5717898.0,9999
768,1964,F,5717899.0,9999
769,1964,M,5717900.0,9999
770,1964,M,5717901.0,9999
771,1997,F,100892.0,9999
772,1997,F,621839.0,9999
773,1946,M,5717904.0,9999
774,1947,F,5717905.0,9999
775,1932,F,5717906.0,2024
776,1950,M,5717907.0,9999
777,1958,M,5717908.0,9999
778,1958,M,5717909.0,9999
779,1977,F,5717910.0,9999
780,1977,F,5717911.0,9999
781,1975,F,5717912.0,9999
782,1946,M,5717913.0,9999
783,1946,M,5717914.0,2013
784,1950,F,5717915.0,2020
785,1950,F,5717916.0,9999
786,1966,M,5717917.0,9999
787,1969,F,5717918.0,9999
788,1942,M,5717919.0,9999
789,1948,F,5717920.0,9999
790,1925,M,5717921.0,2014
791,1933,F,5717922.0,2017
792,1926,M,5717923.0,2016
793,1926,M,5717924.0,2010
794,1926,F,5717925.0,2020
795,1926,F,5717926.0,2017
796,1954,M,5717927.0,9999
797,1954,M,5717928.0,9999
798,1960,M,5717929.0,9999
799,1960,M,5717930.0,9999
800,1968,F,5717931.0,9999
801,1968,F,5717932.0,9999
802,1994,F,100956.0,9999
803,1994,F,621903.0,9999
804,1997,M,100956.0,9999
805,1997,M,621903.0,9999
806,1948,F,5717937.0,9999
807,1967,M,5717938.0,9999
808,1968,F,5717939.0,9999
809,1995,F,100975.0,9999
810,1998,F,100975.0,9999
811,2008,M,100975.0,9999
812,1932,M,5717943.0,2017
813,1932,M,5717944.0,2019
814,1932,M,5717945.0,2016
815,1942,F,5717946.0,9999
816,1942,F,5717947.0,2015
817,1942,F,5717948.0,9999
818,1943,M,5717949.0,2024
819,1943,M,5717950.0,9999
820,1943,M,5717951.0,2025
821,1968,F,5717952.0,9999
822,1994,F,100986.0,9999
823,1959,F,5717954.0,2011
824,1993,F,100989.0,9999
825,1943,M,5717956.0,9999
826,1954,F,5717957.0,9999
827,1968,M,5717958.0,9999
828,1968,M,5717959.0,9999
829,1973,F,5717960.0,9999
830,1973,F,5717961.0,9999
831,2002,M,101007.0,9999
832,2002,M,621954.0,9999
833,1977,F,5717964.0,9999
834,1966,M,5717965.0,9999
835,1967,F,5717966.0,9999
836,1993,M,101023.0,9999
837,1995,M,101023.0,9999
838,1996,F,101023.0,9999
839,1946,M,5717970.0,2023
840,1951,F,5717971.0,9999
841,1973,M,5717972.0,9999
842,1973,M,5717973.0,9999
843,1981,F,5717974.0,9999
844,1981,F,5717975.0,9999
845,1960,F,5717976.0,9999
846,1966,M,5717977.0,9999
847,1966,M,5717978.0,9999
848,1972,F,5717979.0,9999
849,1972,F,5717980.0,9999
850,2001,M,101036.0,9999
851,2001,M,621983.0,9999
852,2003,M,101036.0,9999
853,2003,M,621983.0,9999
854,2006,F,101036.0,9999
855,2006,F,621983.0,9999
856,2006,M,101036.0,9999
857,2006,M,621983.0,9999
861,1964,M,5717992.0,9999
862,1964,M,5717993.0,9999
863,1964,M,5717994.0,9999
864,1941,F,5717995.0,9999
865,1941,F,5717996.0,9999
866,1944,M,5717997.0,9999
867,1944,M,5717998.0,9999
868,1951,F,5717999.0,9999
869,1951,F,5718000.0,9999
870,1961,M,5718001.0,9999
871,1961,M,5718002.0,9999
872,1942,M,5718003.0,9999
873,1946,F,5718004.0,9999
874,1982,F,5718005.0,9999
875,1934,M,5718006.0,2014
876,1934,M,5718007.0,9999
877,1935,F,5718008.0,9999
878,1935,F,5718009.0,2024
879,1918,F,5718010.0,2013
880,1955,M,5718011.0,9999
881,1960,F,5718012.0,2020
882,1990,M,101083.0,9999
883,1992,M,101083.0,9999
884,2001,F,101083.0,9999
885,1946,M,5718016.0,9999
886,1974,M,5718017.0,9999
